Zip,Median,Pop,Zipcode
3222,"47,954","5,020",32220
3223,"44,546","2,831",32230
3224,"78,500","1,947",32240
3225,"65,804","2,991",32250
3226,"1,341",30,32260
3227,"51,866",963,32270
3229,"86,083","5,387",32290
3230,"62,943","1,138",32300
3231,"64,522",117,32310
3233,"66,146",154,32330
3234,"71,686","4,026",32340
3235,"49,138","8,470",32350
3237,"64,219","1,878",32370
3238,"44,050",61,32380
3240,"54,297","1,138",32400
3241,"70,144",679,32410
3242,"73,472","4,444",32420
3243,"62,943",991,32430
3244,"57,426","6,950",32440
3245,"44,153","1,937",32450
3246,"45,867","16,437",32460
3249,"60,450","6,763",32490
3251,"49,073","1,269",32510
3253,"58,931","5,890",32530
3254,"74,162","4,478",32540
3255,"67,396","1,738",32550
3256,585,16,32560
3257,"66,175","4,053",32570
3258,"74,808","2,221",32580
3259,"51,866",290,32590
3260,"67,396",628,32600
3261,"64,816","3,674",32610
3262,"44,050","1,023",32620
3263,"57,987","3,952",32630
3264,"43,783","6,223",32640
3266,"51,840","2,072",32660
3268,"64,522","1,031",32680
3269,"61,702","2,586",32690
3273,"67,396",347,32730
3275,"58,388","11,732",32750
3276,"55,931","7,952",32760
3278,"63,262","2,897",32780
3279,"44,050",807,32790
3280,"52,648",895,32800
3281,"78,480","7,775",32810
3282,"59,259",791,32820
3284,"81,000",736,32840
3285,"49,073","1,823",32850
3287,"62,943","1,076",32870
3290,"98,477","3,590",32900
3291,"98,542",51,32910
3293,"44,050",114,32930
3301,"52,876","31,800",33010
3303,"57,450","14,137",33030
3304,"103,270","7,136",33040
3307,"74,570","4,497",33070
3431,"49,288","24,237",34310
3440,"61,481","2,487",34400
3441,"36,932",312,34410
3442,"67,351","1,409",34420
3443,"79,400",695,34430
3444,"60,369","1,473",34440
3445,"60,369",755,34450
3446,"52,053","5,949",34460
3447,"67,839","2,151",34470
3448,"55,170",802,34480
3449,"64,231","1,738",34490
3450,"60,369","1,065",34500
3451,"44,533","4,118",34510
3452,"56,637","5,477",34520
3455,"55,913","2,036",34550
3456,"55,170",749,34560
3457,"60,369",698,34570
3458,"70,275","6,274",34580
3461,"68,250","5,444",34610
3462,"79,400","1,607",34620
3464,"60,369",876,34640
3465,"55,910","1,969",34650
3466,"79,400","1,259",34660
3467,"79,400","1,722",34670
3470,"43,642","4,840",34700
3561,"44,787","5,864",35610
3570,"39,342","10,270",35700
3574,"58,082","2,201",35740
3575,"60,741",59,35750
3576,"36,884","3,475",35760
3579,"41,891",372,35790
3580,"56,505","1,193",35800
3581,"43,217","3,271",35810
3582,"35,740","2,715",35820
3583,"60,741","1,005",35830
3584,"46,889","3,512",35840
3585,"50,406","2,414",35850
3586,"58,082",535,35860
3588,"52,026","1,640",35880
3590,"35,828","1,236",35900
3592,"38,616","1,146",35920
3593,"60,741",338,35930
3595,"60,741",600,35950
3597,"38,550",389,35970
3598,"48,061","2,966",35980
3601,"58,667",398,36010
3602,"56,041","2,584",36020
3603,"49,290","5,027",36030
3604,"58,112",29,36040
3605,"52,648",971,36050
3607,"58,667",316,36070
3608,"58,112","2,887",36080
3609,"58,112",672,36090
3740,"50,092",760,37400
3741,"60,392","3,590",37410
3743,"42,247","13,840",37430
3745,"77,619","1,468",37450
3746,"77,619",194,37460
3748,"61,496","4,747",37480
3750,"110,729",951,37500
3751,"64,611",308,37510
3752,"52,648",746,37520
3753,"81,000","2,169",37530
3754,"45,794",19,37540
3755,"81,607","9,900",37550
3765,"41,575",448,37650
3766,"59,682","8,867",37660
3768,"70,144","1,679",37680
3770,"77,619",347,37700
3771,"50,406",738,37710
3773,"49,852","7,502",37730
3774,"41,575","1,936",37740
3777,"59,259","1,089",37770
3779,"59,259",710,37790
3780,"41,614",449,37800
3781,"77,619","1,892",37810
3782,"59,775","2,823",37820
3784,"56,652","3,742",37840
3785,"42,817","2,070",37850
3801,"63,815","21,560",38010
3809,"57,560","2,928",38090
3810,"57,569","1,572",38100
3811,"87,514","6,267",38110
3812,"46,357",897,38120
3813,"46,708","2,530",38130
3814,"44,967","2,265",38140
3816,"52,679","1,159",38160
3817,"51,866",462,38170
3818,"49,733","3,309",38180
3819,"78,083","4,017",38190
3820,"59,989","26,940",38200
3823,"72,209","1,432",38230
3824,"60,676","12,659",38240
3825,"74,102","7,375",38250
3826,"82,711","2,439",38260
3827,"87,103","2,579",38270
3830,"46,406","1,258",38300
3832,"55,531",381,38320
3833,"74,806","19,202",38330
3835,"47,975","5,778",38350
3836,"45,728","1,286",38360
3837,"64,219","1,173",38370
3838,"46,357",922,38380
3839,"55,733","3,490",38390
3840,"75,526","3,220",38400
3841,"83,959","6,086",38410
3842,"72,310","14,818",38420
3844,"112,417","1,879",38440
3845,"45,924","1,000",38450
3846,"46,357",818,38460
3847,"40,661",302,38470
3848,"69,792","5,863",38480
3849,"55,543","1,295",38490
3850,"52,679",369,38500
3851,"58,382","3,378",38510
3852,"58,382",534,38520
3853,"52,679",581,38530
3854,"67,292","1,010",38540
3855,"60,625","2,216",38550
3856,"79,824","1,557",38560
3857,"70,588","8,048",38570
3858,"87,257","4,288",38580
3860,"40,861","3,450",38600
3861,"72,209","4,153",38610
3862,"75,081","4,254",38620
3864,"44,967","1,628",38640
3865,"76,471","7,731",38650
3867,"51,183","20,308",38670
3868,"53,629","4,778",38680
3869,"66,161","2,582",38690
3870,"85,268","5,062",38700
3871,"85,268",119,38710
3872,"46,406","3,200",38720
3873,"84,362","4,942",38730
3874,"52,645","8,047",38740
3875,"55,214",625,38750
3878,"52,254","11,539",38780
3882,"45,728","1,273",38820
3883,"51,866",179,38830
3884,"72,303","3,585",38840
3885,"106,572","6,336",38850
3886,"51,872","1,854",38860
3887,"57,598","1,827",38870
3890,"44,967",303,38900
3894,"55,652","6,116",38940
3901,"61,513","6,373",39010
3902,"72,016","2,083",39020
3903,"66,854","5,952",39030
3904,"52,799","7,636",39040
3905,"54,048","1,902",39050
3906,"57,711","4,331",39060
3907,"57,542","1,223",39070
3908,"75,007","6,684",39080
3909,"61,753","10,093",39090
3910,"57,101",338,39100
3911,"57,101",341,39110
4001,"51,227","2,138",40010
4002,"62,908","6,280",40020
4003,"66,055",477,40030
4005,"49,409","22,620",40050
4006,"61,583",124,40060
4008,"63,192","2,498",40080
4009,"42,420","4,815",40090
4010,"42,439","1,248",40100
4011,"51,062","21,168",40110
4015,"51,656","3,501",40150
4017,"85,168",355,40170
4019,"58,429",87,40190
4020,"48,269","1,269",40200
4021,"85,168","5,589",40210
4022,"42,439","1,003",40220
4024,"52,059",529,40240
4027,"56,227","5,085",40270
4029,"52,059","1,433",40290
4030,"60,288","1,836",40300
4032,"60,895","7,797",40320
4037,"37,578","3,373",40370
4038,"70,795","14,169",40380
4039,"67,751","6,428",40390
4040,"42,035","2,629",40400
4041,"40,694","1,415",40410
4042,"57,536","4,117",40420
4043,"73,978","10,482",40430
4046,"60,745","7,282",40460
4047,"48,269","1,580",40470
4048,"50,684","2,288",40480
4049,"56,924","3,355",40490
4050,"58,429",200,40500
4051,"45,086",983,40510
4055,"52,824","3,200",40550
4056,"51,227",209,40560
4057,"42,420",63,40570
4061,"60,288","2,665",40610
4062,"57,302","14,901",40620
4063,"31,529",399,40630
4064,"40,589","8,455",40640
4066,"66,055",691,40660
4068,"40,694","1,442",40680
4069,"65,117","1,435",40690
4071,"63,873","4,729",40710
4072,"42,759","12,787",40720
4073,"43,224","16,015",40730
4074,"77,285","16,813",40740
4076,"51,227","2,322",40760
4079,"63,939","4,065",40790
4083,"44,589","4,713",40830
4084,"70,905","7,754",40840
4085,"55,429","1,530",40850
4086,"63,864","9,097",40860
4087,"60,288","1,710",40870
4088,"45,086","1,417",40880
4090,"63,243","9,397",40900
4091,"52,059",759,40910
4092,"46,303","16,124",40920
4093,"55,999","7,451",40930
4095,"51,217","1,129",40950
4096,"77,652","8,357",40960
4097,"70,858","3,268",40970
4101,"28,472","17,296",41010
4102,"50,475","16,875",41020
4103,"55,954","29,092",41030
4105,"88,841","10,276",41050
4106,"51,529","23,437",41060
4107,"81,192","9,083",41070
4108,"58,429",843,41080
4109,"58,429",82,41090
4110,"85,168","1,210",41100
4210,"42,117","23,191",42100
4217,"38,631","2,854",42170
4219,"43,994","1,469",42190
4220,"45,756","2,584",42200
4221,"41,350","1,220",42210
4222,"74,952","3,378",42220
4224,"41,466","2,960",42240
4227,"41,401",81,42270
4228,"32,677",15,42280
4231,"44,549",260,42310
4234,"31,406",136,42340
4236,"56,719","4,078",42360
4237,"39,861",251,42370
4238,"48,258","1,054",42380
4239,"40,208","4,980",42390
4240,"37,562","35,686",42400
